,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
184,Cable Triceps Extension (Lying),Lying Cable Skull Crusher,Cable French Press,Triceps,Shoulders,,Cable,Isolates the triceps with constant tension during horizontal elbow extension.,"1. Lie on a bench under a low cable, 2. Hold the handle and extend arm upward, 3. Bend elbow to lower, 4. Extend again."
185,Cable Tricep Extension (Single Arm),Single Arm Cable Triceps,One Arm Cable Pressdown,Triceps,Shoulders,,Cable,Targets the triceps with unilateral resistance to improve symmetry and control.,"1. Stand facing a high pulley with one hand on the handle, 2. Extend your arm downward, 3. Slowly bend and repeat, 4. Switch arms."
186,Cable Preacher Curl,Cable Curl on Preacher Bench,Preacher Cable Biceps Curl,Biceps,Forearms,,Cable,Focuses on biceps isolation with constant tension and minimized shoulder involvement.,"1. Sit at a preacher bench and grab a low cable bar, 2. Curl the bar toward your shoulders, 3. Squeeze at the top, 4. Lower slowly."
187,Cable Rear Delt Fly,Reverse Cable Fly,Cable Reverse Fly,Upper Back,,,Cable,Strengthens the rear deltoids and upper back to support posture and shoulder health.,"1. Stand between two low cables, 2. Grab opposite handles and extend arms in front, 3. Pull handles outward in a reverse fly motion, 4. Return with control."
188,Cable Reverse Crunch,Cable Leg Tuck,Resistance Reverse Crunch,Abs,Hip Flexors,,Cable,Activates the lower abdominals and hip flexors with controlled cable resistance.,"1. Lie on your back and hold a low cable between your ankles, 2. Curl your hips upward, 3. Squeeze abs at the top, 4. Lower slowly."
189,Cable Crunches (Seated),Seated Cable Ab Crunch,Rope Crunch,Abs,Hip Flexors,,Cable,Targets the rectus abdominis with weighted spinal flexion for core strength development.,"1. Sit at a cable machine with rope overhead, 2. Hold the rope behind your head, 3. Crunch forward by contracting your abs, 4. Return to start."
190,Cable Drag Curl,Cable Reverse Curl,Cable Pull Curl,Biceps,Forearms,,Cable,Isolates the biceps brachii using constant cable tension with a dragging motion to enhance muscle definition and peak.,"1. Attach a straight bar to a low pulley, 2. Stand facing the machine and grab the bar, 3. Pull it up your body by dragging elbows back, 4. Squeeze biceps, 5. Lower and repeat."
191,Cable High Bicep Curl,,,Biceps,Forearms,,Cable,Emphasizes the upper portion of the biceps for a higher peak and overall arm development using constant cable tension.,"1. Set cables at shoulder height, 2. Grab handles with arms extended out, 3. Curl both arms toward your head, 4. Squeeze biceps, 5. Return to start."
192,Cable Lat Pulldown (Single Arm),Unilateral Cable Lat Pulldown,,Upper Back,Lats,,Cable,Isolates the lats unilaterally to promote back symmetry and shoulder joint control.,"1. Sit at a pulldown machine, 2. Grab one handle with palm facing forward, 3. Pull it down to your shoulder, 4. Slowly return, 5. Switch arms."
193,Cable Side Leg Raise (Standing),Standing Cable Hip Abduction,Standing Cable Leg Raise,Abductors,Glutes,,Cable Machine,Work the outer thighs and glutes by lifting one leg sideways using a cable machine.,"1. Attach ankle strap to low pulley, 2. Stand upright with strap on outer ankle, 3. Lift leg outward, 4. Lower and repeat."
194,Cable Crunche,Kneeling Cable Crunches,Rope Crunches,Abs,,,Cable Machine,Perform a crunch movement using a cable machine to strengthen the abdominal muscles.,"1. Attach rope handle to high pulley, 2. Kneel and grasp the rope, 3. Crunch forward, bringing elbows to knees, 4. Return to start and repeat."
195,Cable Bicep Curl,Cable Machine Bicep Curls,Cable Bicep Curl (Standing),Biceps,,,Cable Machine,"Use a cable machine to perform bicep curls, providing constant tension throughout the movement.","1. Stand facing a cable machine with the handle attached to the low pulley, 2. Grab the handle with an underhand grip, 3. Curl the handle toward your shoulders, 4. Slowly lower the handle back to the starting position, 5. Repeat."
196,Cable Bicep Curl (Single Arm),Single Arm Cable Bicep Curl,Cable Single-Arm Bicep Curls,Biceps,,,Cable Machine,Perform single-arm cable bicep curls for focused bicep isolation and symmetry.,"1. Stand facing the cable machine with the handle at the low pulley, 2. Grab the handle with one hand and curl it toward your shoulder, 3. Lower the handle back down slowly, 4. Repeat with the other arm."
197,Cable Bar Bicep Curl,Cable Bar Curl,Bar Cable Bicep Curl,Biceps,,,Cable Machine,"Perform bicep curls with a bar attachment on a cable machine, providing steady resistance.","1. Stand facing the cable machine with a straight bar attached to the low pulley, 2. Grab the bar with an underhand grip, 3. Curl the bar toward your shoulders, 4. Lower it back down slowly, 5. Repeat."
198,Cable Bar Bicep Curl (Reverse),Reverse Cable Bar Curls,Cable Bar Reverse Grip Curls,Biceps,,,Cable Machine,Reverse grip curls on a cable machine with a bar to engage the forearms and biceps.,"1. Stand facing the cable machine with a straight bar attached to the low pulley, 2. Grab the bar with an overhand grip, 3. Curl the bar toward your shoulders, 4. Lower it back down slowly, 5. Repeat."
199,Cable Hammer Curl (Rope),Cable Rope Curls,Cable Rope Curl (Neutral Grip),Biceps,,,Cable Machine,Perform hammer curls with a rope attachment to emphasize the brachialis and forearms.,"1. Stand facing the cable machine with a rope attachment on the low pulley, 2. Grab the rope with both hands, palms facing each other, 3. Curl the rope toward your shoulders, 4. Slowly lower the rope back to the starting position, 5. Repeat."
200,Cable Hammer Curl (Rope & Single Arm),Cable Single Arm Rope Curls,Single Arm Cable Rope Hammer Curl,Biceps,,,Cable Machine,Single-arm hammer curls using a cable machine with a rope for increased bicep and forearm engagement.,"1. Stand facing the cable machine with the rope attachment on the low pulley, 2. Grab the rope with one hand, palms facing each other, 3. Curl the rope toward your shoulder, 4. Lower it back down slowly, 5. Repeat with the other arm."
201,Cable Chest Press,Cable Horizontal Press,Standing Cable Chest Press,Chest,Triceps,Shoulders,Cable Machine,Chest press using a cable machine for constant tension and enhanced chest development.,"1. Stand facing the cable machine with the cables set at chest height, 2. Grab the handles with an overhand grip, 3. Step forward and press the handles forward until your arms are fully extended, 4. Slowly bring the handles back toward your chest, 5. Repeat."
202,Cable Chest Press (Single Arm),Single Arm Cable Chest Press,Unilateral Cable Press,Chest,Triceps,Shoulders,Cable Machine,Single-arm chest press using cables to isolate the chest and improve muscle balance.,"1. Stand facing the cable machine with one cable set at chest height, 2. Grab the handle with one hand, 3. Press the handle forward until your arm is fully extended, 4. Slowly bring the handle back toward your chest, 5. Repeat with the other arm."
203,Cable Fly,Cable Chest Fly,Cable Pec Fly,Chest,Shoulders,,Cable Machine,Chest fly exercise using cables to stretch and contract the chest for full range activation.,"1. Stand facing the cable machine with the cables set at shoulder height, 2. Grab the handles with an overhand grip, 3. Extend your arms straight out in front of you, 4. Slowly open your arms wide, keeping a slight bend in your elbows, 5. Bring your arms back together, 6. Repeat."
204,Cable Fly (Decline),Decline Cable Chest Fly,Lower Cable Chest Fly,Chest,Shoulders,,Cable Machine,Decline cable fly targeting the lower chest and increasing muscle activation in the lower pectorals.,"1. Set the cables to a higher than shoulder height position, 2. Stand facing away form the machine, holding the handles, 3. Extend your arms in front of you, 4. Slowly open your arms wide, 5. Bring your arms back together, 6. Repeat."
205,Cable Crossover,Standing Cable Fly,Cable Chest Crossover,Chest,Shoulders,Triceps,Cable Machine,"Cable crossover for chest, focusing on a wide range of motion to target all parts of the chest.","1. Stand facing the cable machine with cables at the highest setting, 2. Grab the handles with an overhand grip, 3. Step forward and pull the handles together in front of you, 4. Slowly release the handles back to the starting position, 5. Repeat."
206,Cable Glute Kickback,Cable Glute Kickbacks,Cable Donkey Kicks,Glutes,Hamstrings,,Cable Machine,Standing kickbacks using a cable machine to isolate the glutes and hamstrings by extending one leg backward.,"1. Attach an ankle strap to the low pulley of a cable machine, 2. Strap it to your ankle and face the machine, 3. Kick your leg back and upward, keeping your knee straight, 4. Slowly return your leg to the starting position, 5. Repeat on the other leg."
207,Cable RDL,Cable Romanian Deadlifts,Cable Straight Leg Deadlifts,Hamstrings,Glutes,Lower Back,Cable Machine,Romanian deadlifts with a cable machine to strengthen the hamstrings and glutes while keeping a slight bend in the knees.,"1. Attach a rope to the low pulley of a cable machine, 2. Stand with your back straight and knees slightly bent, 3. Hold the rope in front of your thighs, 4. Hinge at your hips and lower the rope toward the ground, 5. Return to the starting position, 6. Repeat."
208,Cable Woodchopper,Diagonal Cable Chops,,Obliques,Abs,,Cable Machine,"A cable machine exercise where you rotate the torso, pulling the cable diagonally from a high to low position to target the obliques and core.","1. Set the cable machine to the highest setting, 2. Stand with your feet shoulder-width apart, 3. Grab the handle with both hands, 4. Pull the cable diagonally down across your body, 5. Return to the starting position and repeat."
209,Cable Rotation,Horizontal Cable Twists,Standing Cable Rotation,Obliques,Abs,,Cable Machine,"Rotational movement using a resistance band to target the obliques and core, twisting the torso to work the muscles effectively.","1. Set the cable machine to the middle height, 2. Stand with feet shoulder-width apart, 3. Hold the cable handle with both hands in front of you, 4. Rotate your torso to one side, 5. Return to the starting position, 6. Repeat on the other side."
210,Cable Lateral Raise,Cable Side Raises,Standing Lateral Raise (Cable),Shoulders,Rotator Cuff,Traps,Cable Machine,Cable-based lateral shoulder raise maintaining constant tension.,"1. Set the cable machine to the lowest setting with the handle attached, 2. Stand sideways to the machine, 3. Grab the handle with the hand farthest from the machine, 4. Raise your arm out to the side until it is parallel to the ground, 5. Lower the arm back down, 6. Repeat on the other side."
211,Cable Lateral Raise (Single Arm),One-Arm Cable Side Raise,Unilateral Cable Shoulder Raise,Shoulders,Rotator Cuff,Traps,Cable Machine,Single-arm cable raise isolating the lateral deltoid.,"1. Set the cable machine to the lowest setting with the handle attached, 2. Stand sideways to the machine, 3. Grab the handle with one hand, 4. Raise your arm out to the side until it is parallel to the ground, 5. Lower the arm back down, 6. Repeat with the other arm."
212,Cable Front Raise,Cable Shoulder Front Raise,Front Raises (Cable),Shoulders,Chest,Traps,Cable Machine,Cable lift straight forward strengthening the front shoulders.,"1. Set the cable machine to the lowest setting with the handle attached, 2. Stand facing the machine, 3. Grab the handle with both hands, 4. Raise the cable straight in front of you until your arms are parallel to the ground, 5. Lower the cable back down, 6. Repeat."
213,Cable Front Raise (Single Arm),One-Arm Cable Front Raise,Unilateral Front Raise (Cable),Shoulders,Chest,Traps,Cable Machine,One-arm cable front raise isolating front deltoid movement.,"1. Set the cable machine to the lowest setting with the handle attached, 2. Stand facing the machine, 3. Grab the handle with one hand, 4. Raise the cable straight in front of you until your arm is parallel to the ground, 5. Lower the cable back down, 6. Repeat with the other arm."
214,Cable Face Pull,Rope Face Pulls,Face Pull with External Rotation,Shoulders,Upper Back,Rotator Cuff,Cable Machine,Cable pull toward the face strengthening rear delts and upper traps.,"1. Set the cable machine to face height with a rope attachment, 2. Stand facing the machine with feet shoulder-width apart, 3. Grab the rope with both hands, 4. Pull the rope towards your face, leading with your elbows, 5. Slowly return to the starting position, 6. Repeat."
215,Cable Shoulder Press,Standing Cable Overhead Press,Cable Military Press,Shoulders,Triceps,,Cable Machine,Overhead press with cables emphasizing shoulder muscle engagement.,"1. Set the cable machine to shoulder height with handles attached, 2. Stand facing away from the machine with a handle in each hand, 3. Press both handles overhead until your arms are fully extended, 4. Lower the handles back down to shoulder height, 5. Repeat."
216,Cable Shoulder Press (Single Arm),One-Arm Cable Overhead Press,Unilateral Cable Press,Shoulders,Triceps,,Cable Machine,One-arm overhead cable press improving shoulder isolation.,"1. Set the cable machine to shoulder height with a handle attached, 2. Stand facing away from the machine with one handle in one hand, 3. Press the handle overhead until your arm is fully extended, 4. Lower the handle back down to shoulder height, 5. Repeat with the other arm."
217,Cable Tricep Pushdown,Cable Tricep Pressdown,Cable Pushdown,Triceps,Shoulders,,Cable Machine,Pushing a cable attachment down to work the triceps.,"1. Set the cable machine to the highest setting with a bar attachment, 2. Grab the bar with both hands, palms facing down, 3. Push the bar down until your arms are fully extended, 4. Slowly return to the starting position, 5. Repeat."
218,Cable Bar Pushdown,Bar Pushdown (Cable),Cable Tricep Pushdown with Bar,Triceps,Shoulders,,Cable Machine,Using a straight bar cable attachment to push down for triceps.,"1. Set the cable machine to the highest setting with a straight bar attached, 2. Grab the bar with both hands, palms facing down, 3. Push the bar down until your arms are fully extended, 4. Slowly return to the starting position, 5. Repeat."
219,Cable Rope Overhead Tricep Extension,Cable Overhead Tricep Rope Extension,Rope Cable Tricep Extension,Triceps,Shoulders,,Cable Machine,Overhead cable rope movement extending the arms to target triceps.,"1. Set the cable machine to the lowest setting with a rope attachment, 2. Grab the rope with both hands, facing away from the machine, 3. Extend your arms overhead, keeping your elbows stationary, 4. Slowly return to the starting position, 5. Repeat."
220,Cable Bar Overhead Tricep Extension,Cable Overhead Tricep Press with Bar,Bar Overhead Tricep Extension (Cable),Triceps,Shoulders,,Cable Machine,Overhead extension using a cable straight bar for tricep development.,"1. Set the cable machine to the lowest setting with a bar attachment, 2. Grab the bar with both hands, facing away from the machine, 3. Extend your arms overhead, keeping your elbows stationary, 4. Slowly return to the starting position, 5. Repeat."
221,Cable Pushdown (Single Arm),One-Arm Cable Tricep Pushdown,Unilateral Cable Tricep Pressdown,Triceps,Shoulders,,Cable Machine,Single-arm cable pushdown to isolate tricep strength.,"1. Set the cable machine to the highest setting with a handle attached, 2. Grab the handle with one hand, 3. Push the handle down until your arm is fully extended, 4. Slowly return to the starting position, 5. Repeat with the other arm."
222,Cable Tricep Kickback (Single Arm),One-Arm Cable Tricep Kickback,Unilateral Cable Tricep Kickback,Triceps,Shoulders,,Cable Machine,Extend your arm backward using a cable to target the tricep.,"1. Set the cable machine to a low setting with a handle attached, 2. Grab the handle with one hand, 3. Extend your arm backward, keeping your elbow stationary, 4. Return to the starting position"
223,Cable Tricep Pushown (Reverse),Reverse Cable Tricep Pushdowns,Cable Reverse Pushdowns,Triceps,Forearms,,Cable Machine,Push a cable bar down with palms facing up to work triceps and forearms.,"1. Set the cable machine to a high setting with a rope attachment, 2. Grab the rope with both hands, palms facing up, 3. Push the rope down, extending your arms fully, 4. Slowly return to the starting position, 5. Repeat."
224,Cable Reverse Fly,Reverse Cable Flys,Cable Reverse Deltoid Fly,Upper Back,Shoulders,Rotator Cuff,Cable Machine,Pull cable handles apart at chest height to work rear shoulders and upper back.,"1. Set the cable machine to a high setting with a handle attached, 2. Grab the handle with both hands, 3. Pull the handles apart while keeping your arms slightly bent, 4. Return to the starting position, 5. Repeat."
225,Cable Reverse Fly (Single Arm),Single Arm Cable Reverse Fly,Single Arm Rear Delt Fly (Cable),Upper Back,Shoulders,Rotator Cuff,Cable Machine,One-arm version pulling a cable handle back to target the rear delts.,"1. Set the cable machine to a high setting with a handle attached, 2. Grab the handle with one hand, 3. Pull the handle across your body, keeping your arm slightly bent, 4. Return to the starting position, 5. Repeat with the other arm."
226,Cable Seated Row,Seated Cable Row,Cable Row,Upper Back,Lats,Biceps,Cable Machine,Sit and pull a cable handle toward your body to strengthen the back and arms.,"1. Sit at the cable machine with your feet flat and your knees slightly bent, 2. Grab the handle with both hands, 3. Pull the handle towards your torso, squeezing your shoulder blades together, 4. Slowly return to the starting position, 5. Repeat."
227,Cable Seated Row (Wide Grip),Wide Grip Seated Cable Row,Seated Row (Wide Grip),Upper Back,Lats,Biceps,Cable Machine,Pull a wide-grip cable attachment toward your chest to work upper back and arms.,"1. Sit at the cable machine with your feet flat and knees slightly bent, 2. Grab the wide grip attachment, 3. Pull the handle towards your torso, keeping your elbows wide, 4. Slowly return to the starting position, 5. Repeat."
228,Cable Pull Apart,Cable Reverse Fly Pull-Aparts,,Upper Back,Shoulders,Lats,Cable Machine,"Use a cable machine to pull handles apart, targeting the rear shoulders and back.","1. Set a cable machine with a rope attachment at chest height, 2. Grab the rope with both hands, 3. Pull the rope apart, keeping your arms slightly bent, 4. Slowly return to the starting position, 5. Repeat."
229,Cable Lat Pulldown (Close-Grip),Close Grip Lat Pulldown,Pull Down (Close-Grip),Upper Back,,,Cable Machine,A close-grip version of the lat pulldown for deeper lat and arm activation.,"1. Set the cable machine with a close-grip bar, 2. Grab the bar with your hands about shoulder-width apart, 3. Pull the bar down to your chest, squeezing your shoulder blades together, 4. Slowly return the bar to the starting position, 5. Repeat."
230,Cable Seated Row (Single Arm),One Arm Cable Row,Unilateral Seated Cable Row,Upper Back,,,Cable Machine,A cable row using one arm to work the back and stabilize the core.,"1. Sit at the cable machine with the handle attached to the low pulley, 2. Grab the handle with one hand, 3. Pull the handle toward your torso, squeezing your shoulder blades together, 4. Slowly return to the starting position"
231,Dumbbell Bicep Curl,DB Standing Curls,Dumbbell Bicep Curls,Biceps,,,Dumbbell,Dumbbell Bicep Curls: Perform alternating bicep curls with dumbbells to target the biceps and forearms.,"1. Stand with a dumbbell in each hand, palms facing forward, 2. Curl the dumbbells toward your shoulders, 3. Lower back down slowly and repeat."
232,Dumbbell Bicep Curl (Alternating),Alternating Dumbbell Curls,Alternating DB Curls,Biceps,,,Dumbbell,Perform alternating dumbbell bicep curls to work each arm independently.,"1. Stand with a dumbbell in each hand, palms facing forward, 2. Curl one dumbbell toward your shoulder, 3. Lower it and repeat with the other arm, 4. Alternate between arms."
233,Dumbbell Bicep Curl (Seated),Seated Dumbbell Bicep Curls,Seated DB Curls,Biceps,,,Dumbbell,"Sit on a bench and perform bicep curls with dumbbells, focusing on form and control.","1. Sit on a bench with dumbbells in both hands, palms facing forward, 2. Curl the dumbbells toward your shoulders, 3. Lower back down slowly, 4. Repeat."
234,Dumbbell Hammer Curl,Hammer Grip Curls,Neutral Grip Dumbbell Curls,Biceps,,,Dumbbell,Perform curls with dumbbells in a neutral grip to target the brachialis and forearms.,"1. Stand with a dumbbell in each hand, palms facing inward, 2. Curl the dumbbells toward your shoulders, 3. Lower back down slowly and repeat."
235,Dumbbell Hammer Curl (Alternating),Alternating Hammer Curls,Alternating Neutral Grip Curls,Biceps,,,Dumbbell,"Alternate dumbbell hammer curls to target the brachialis and forearms, one arm at a time.","1. Stand with a dumbbell in each hand, palms facing inward, 2. Curl one dumbbell toward your shoulder, 3. Lower it and repeat with the other arm, 4. Alternate between arms."
236,Dumbbell Hammer Curl (Seated),Seated Hammer Curls,Seated Neutral Grip Curls,Biceps,,,Dumbbell,Sit on a bench and perform alternating hammer curls with dumbbells to target the forearms.,"1. Sit on a bench with dumbbells in both hands, palms facing inward, 2. Curl the dumbbells toward your shoulders, 3. Lower back down slowly, 4. Repeat."
237,Dumbbell Bicep Curl (Reverse),Reverse Dumbbell Curls,Dumbbell Reverse Grip Curls,Biceps,,,Dumbbell,Perform reverse curls with dumbbells to target the brachioradialis and forearms.,"1. Stand with a dumbbell in each hand, palms facing down, 2. Curl the dumbbells toward your shoulders, 3. Lower back down slowly, 4. Repeat."
238,Dumbbell Concentration Curl (Single Arm),Dumbbell Concentration Curls,Seated Concentration Curl,Biceps,,,Dumbbell,"Isolated single-arm dumbbell curls, focusing on peak bicep contraction.","1. Sit on a bench, leaning slightly forward, 2. Hold a dumbbell in one hand with your palm facing upward, 3. Curl the dumbbell toward your shoulder, 4. Lower the dumbbell back down slowly, 5. Repeat with the other arm."
239,Dumbbell Spider Curl,Spider Curls with Dumbbells,Spider Curls,Biceps,,,Dumbbell,Perform curls while lying face down on an incline bench to increase bicep isolation.,"1. Lie face down on an incline bench with dumbbells in each hand, 2. Curl the dumbbells toward your shoulders, 3. Lower them back down slowly, 4. Repeat."
240,Dumbbell Cross-Body Hammer Curl,Cross-Chest Hammer Curls,Across-the-Body Hammer Curls,Biceps,,,Dumbbell,Cross-body hammer curls with dumbbells to engage the brachialis and biceps.,"1. Stand with a dumbbell in each hand, palms facing inward, 2. Curl one dumbbell toward the opposite shoulder, 3. Lower it back down, 4. Repeat with the other arm."
241,Dumbbell Bicep Curls (Incline),Incline Dumbbell Bicep Curls,Seated Incline DB Curls,Biceps,,,Dumbbell,"Dumbbell curls on an incline bench, stretching the biceps and focusing on lower bicep activation.","1. Sit on an incline bench with a dumbbell in each hand, palms facing upward, 2. Curl the dumbbells toward your shoulders, 3. Slowly lower them back down, 4. Repeat."
242,Dumbbell Calf Raise,Standing DB Calf Raises,Dumbbell Standing Calf Raises,Calves,,,Dumbbell,Raise your heels while holding dumbbells to strengthen and develop the calf muscles.,"1. Stand with a dumbbell in each hand, 2. Raise your heels off the ground, standing on the balls of your feet, 3. Lower your heels back down slowly, 4. Repeat."
243,Dumbbell Calf Raise (Single Leg),Single Leg Dumbbell Calf Raise,One-Leg Standing DB Calf Raise,Calves,,,Dumbbell,Isolated single-leg calf raises with dumbbells to target each calf independently.,"1. Stand with a dumbbell in one hand, 2. Raise one heel off the ground, standing on the ball of that foot, 3. Lower your heel back down slowly, 4. Repeat with the other leg."
244,Dumbbell Bench Press,Dumbbell Flat Bench Press,Flat DB Press,Chest,Triceps,Shoulders,Dumbbell,A variation of the bench press using dumbbells for greater range of motion and chest activation.,"1. Lie flat on a bench with a dumbbell in each hand, palms facing forward, 2. Press the dumbbells up until your arms are fully extended, 3. Lower the dumbbells slowly to your chest, 4. Press them back up, 5. Repeat."
245,Dumbbell Bench Press (Incline),Incline Dumbbell Bench Press,Incline DB Press,Chest,Shoulders,Triceps,Dumbbell,An incline dumbbell bench press that targets the upper chest and shoulders.,"1. Set the bench to an incline position, 2. Lie back on the bench with a dumbbell in each hand, palms facing forward, 3. Press the dumbbells up until your arms are fully extended, 4. Lower the dumbbells slowly to your chest, 5. Press them back up, 6. Repeat."
246,Dumbbell Bench Press (Decline),DB Decline Chest Press,Decline DB Press,Chest,Triceps,Shoulders,Dumbbell,A decline dumbbell bench press to emphasize the lower chest and triceps.,"1. Set the bench to a decline position, 2. Lie back on the bench with a dumbbell in each hand, palms facing forward, 3. Press the dumbbells up until your arms are fully extended, 4. Lower the dumbbells slowly to your lower chest, 5. Press them back up, 6. Repeat."
247,Dumbbell Bench Press (Single Arm),Single Arm Dumbbell Bench Press,Unilateral DB Chest Press,Chest,Triceps,Shoulders,Dumbbell,Single-arm dumbbell press focusing on chest activation and improving unilateral strength.,"1. Lie flat on a bench with a dumbbell in one hand, 2. Press the dumbbell up until your arm is fully extended, 3. Lower the dumbbell slowly to your chest, 4. Press it back up, 5. Repeat with the other arm."
248,Dumbbell Pullover,Dumbbell Pullover,,Chest,Lats,Triceps,Dumbbell,"A dumbbell exercise for the chest and back, emphasizing stretch and contraction of the upper body.","1. Lie flat on a bench with a dumbbell held in both hands, 2. Extend your arms overhead, 3. Lower the dumbbell back behind your head in a controlled manner, 4. Bring the dumbbell back to the starting position, 5. Repeat."
249,Dumbbell Pullover (Single Arm),Single Arm DB Pullover,Unilateral DB Pullover,Chest,Lats,Triceps,Dumbbell,Single-arm dumbbell pullover for better unilateral chest and back activation.,"1. Lie flat on a bench with a dumbbell in one hand, 2. Extend your arm overhead, 3. Lower the dumbbell behind your head, 4. Bring the dumbbell back to the starting position, 5. Repeat with the other arm."
250,Dumbbell Fly,Dumbbell Chest Fly,Dumbbell Chest Fly,Chest,Shoulders,,Dumbbell,Chest fly with dumbbells to target the chest muscles by opening and closing the arms.,"1. Lie flat on a bench with a dumbbell in each hand, palms facing each other, 2. Extend your arms straight above you, 3. Slowly open your arms wide, keeping a slight bend in your elbows, 4. Bring your arms back together, 5. Repeat."
251,Dumbbell Floor Press,Dumbbell Floor Press,DB Chest Press (Floor),Chest,Triceps,Shoulders,Dumbbell,"Lying on the floor, press dumbbells to target the chest while minimizing shoulder strain.","1. Lie on the floor with a dumbbell in each hand, palms facing forward, 2. Press the dumbbells up until your arms are fully extended, 3. Lower the dumbbells until your upper arms touch the floor, 4. Press the dumbbells back up, 5. Repeat."
252,Dumbbell Floor Press (Single Arm),Single Arm DB Floor Press,Unilateral Floor Press,Chest,Triceps,Shoulders,Dumbbell,"Single-arm floor press with dumbbells, emphasizing unilateral chest strength and stability.","1. Lie on the floor with a dumbbell in one hand, 2. Press the dumbbell up until your arm is fully extended, 3. Lower the dumbbell until your upper arm touches the floor, 4. Press the dumbbell back up, 5. Repeat with the other arm."
253,Dumbbell Wrist Curl,Dumbbell Forearm Curls,,Forearms,,,Dumbbell,Wrist curl exercise with dumbbells to strengthen the forearm flexors and improve grip strength.,"1. Sit on a bench with your forearms resting on your thighs and palms facing up, 2. Hold a dumbbell in each hand, 3. Curl your wrists upwards, 4. Slowly lower the dumbbells back down, 5. Repeat."
254,Dumbbell Reverse Wrist Curl,Reverse Forearm Curls,DB Palms-Down Wrist Curls,Forearms,,,Dumbbell,Reverse wrist curls with dumbbells to target the forearm extensors and improve wrist strength.,"1. Sit on a bench with your forearms resting on your thighs and palms facing down, 2. Hold a dumbbell in each hand, 3. Curl your wrists upwards, 4. Slowly lower the dumbbells back down, 5. Repeat."
255,Dumbbell Farmer's Walk,Dumbbell Carry,DB Loaded Carry,Forearms,Abs,,Dumbbell,"Walking while holding heavy dumbbells to strengthen the grip, forearms, and core stability.","1. Hold a dumbbell in each hand at your sides, 2. Stand tall with your chest up, 3. Walk forward while keeping your core engaged, 4. Walk for a set distance or time, 5. Repeat."
256,Dumbbell Hip Thrust,Dumbbell Hip Thrust,Glute Bridge with Dumbbell,Glutes,Hamstrings,,Dumbbell,Hip thrust with a dumbbell placed on the hips for glute and hamstring activation.,"1. Sit on the ground with your upper back against a bench, 2. Hold a dumbbell on your hips, 3. Drive through your heels to lift your hips toward the ceiling, 4. Lower your hips back down, 5. Repeat."
257,Dumbbell Hip Thrust (Single Leg),Single Leg DB Hip Thrust,Single Leg Dumbbell Glute Bridge,Glutes,Hamstrings,,Dumbbell,Single-leg dumbbell hip thrust to target each glute and hamstring individually for greater balance and strength.,"1. Sit on the ground with your upper back against a bench, 2. Hold a dumbbell on your hips, 3. Lift one leg off the ground and drive through the other heel to lift your hips, 4. Lower your hips back down, 5. Repeat on the other leg."
258,Dumbbell RDL,Dumbbell Romanian Deadlifts,DB RDL,Hamstrings,Glutes,Lower Back,Dumbbell,"Romanian deadlifts with dumbbells to target the hamstrings, glutes, and lower back with a controlled hinge motion.","1. Stand with your feet hip-width apart and a dumbbell in each hand, 2. Hinge at your hips and lower the dumbbells toward the ground, 3. Keep your back straight and knees slightly bent, 4. Return to the starting position, 5. Repeat."
259,Dumbbell Staggered Stance RDL,Staggered DB RDLs,DB Split Stance RDLs,Hamstrings,Glutes,Lower Back,Dumbbell,A staggered stance variation of Romanian deadlifts with dumbbells to target the hamstrings and glutes.,"1. Hold a dumbbell in each hand, 2. Stand with one foot slightly in front of the other, 3. Hinge at your hips and lower the dumbbells toward the ground, 4. Keep your back straight and knees slightly bent, 5. Return to the starting position, 6. Repeat on the other side."
260,Dumbbell Goblet Squat,Dumbbell Goblet Squats,DB Squats,Legs,Quadriceps,Glutes,Dumbbell,"Holding a dumbbell close to the chest while performing squats to target the quads, hamstrings, and glutes.","1. Hold a dumbbell with both hands at chest level, 2. Stand with your feet shoulder-width apart, 3. Lower your body by bending your knees, 4. Drive through your heels to stand back up, 5. Repeat."
261,Dumbbell Lateral Lunge,DB Lateral Lunges,,Legs,Adductors,,Dumbbell,"Lateral lunges with dumbbells to engage the quads, glutes, and inner thighs.","1. Hold a dumbbell in each hand, 2. Step to the side with one leg and bend that knee, 3. Push your hips back and lower your body, 4. Return to the starting position, 5. Repeat on the other side."
262,Kettlebell Lateral Lunge,KB Lateral Lunges,,Legs,Adductors,,Dumbbell,"Lateral lunges using a kettlebell to engage the legs, glutes, and core in a wide stance.","1. Hold a kettlebell with both hands, 2. Step to the side with one leg and bend that knee, 3. Push your hips back and lower your body, 4. Return to the starting position, 5. Repeat on the other side."
263,Dumbbell Lunge,Dumbbell Lunges,Weighted Lunges with DB,Legs,Quadriceps,Glutes,Dumbbell,"Lunges with dumbbells to enhance lower body strength, focusing on quads, hamstrings, and glutes.","1. Hold a dumbbell in each hand at your sides, 2. Step forward with one leg and lower your body until both knees are bent at 90 degrees, 3. Push back to the starting position, 4. Repeat with the other leg."
